date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2014-12-18,4384.17,0.1334999999999997,0.1083333333333333,,140128.9025214247,51681.49228021063,20.17426565147202,0.6,0.6311860626161052,NONE
2014-12-19,4482.98,0.0731999999999999,0.0886426592797784,,142122.32171044667,51681.49228021063,20.17426565147202,0.6,0.6363590767571045,NONE
2014-12-22,4503.01,-0.0553999999999996,0.0635359116022099,,142526.41225144564,51681.49228021063,20.17426565147202,0.6,0.6373900706275134,NONE
2014-12-23,4361.32,0.1498999999999997,0.1267217630853994,,139667.92055128858,51681.49228021063,20.17426565147202,0.6,0.6299687710949182,NONE
2014-12-24,4288.27,0.3516999999999997,0.2939560439560439,,138194.19044544856,51681.49228021063,20.17426565147202,0.6,0.6260226850808781,NONE
2014-12-25,4417.27,0.1730999999999998,0.1397260273972602,,140796.67071448843,51681.49228021063,20.17426565147202,0.6,0.6329352674466867,NONE
2014-12-26,4495.25,0.0556999999999998,0.0846994535519125,,142369.85994999023,51681.49228021063,20.17426565147202,0.6,0.6369913386276799,NONE
2014-12-29,4476.85,0.0504999999999999,0.0844686648501362,,141998.65346200316,51681.49228021063,20.17426565147202,0.6,0.6360423777255051,NONE
2014-12-30,4429.48,0.0049999999999998,0.0788043478260869,,141042.9984980929,51681.49228021063,20.17426565147202,0.6,0.6335763360780405,NONE
2014-12-31,4515.57,-0.1024000000000002,0.05420054200542,,142779.80102802813,51681.49228021063,20.17426565147202,0.6,0.6380335880278655,NONE
2015-01-05,4690.37,-0.2765000000000004,0.0378378378378378,0.05420054200542,146306.26266390545,146306.26266390545,0.0,0.0,0.0,SELL
2015-01-06,4720.86,-0.3050000000000001,0.0269541778975741,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-07,4708.36,-0.3370000000000002,0.0161290322580645,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-08,4605.64,-0.2334,0.0509383378016085,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-09,4582.01,-0.2087999999999996,0.0561497326203208,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-12,4482.5,-0.1359000000000003,0.0666666666666666,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
2015-01-13,4519.19,-0.0844,0.0744680851063829,,146306.26266390545,146306.26266390545,0.0,0.0,0.0,NONE
